,Exchange Date,Bid
0,10-May-2022,"45,648.2457"
1,09-May-2022,"44,472.0857"
2,06-May-2022,"50,945.0911"
3,05-May-2022,"51,231.8009"
4,04-May-2022,"54,780.5892"
5,03-May-2022,"53,216.6855"
6,02-May-2022,"54,324.4079"
7,29-Apr-2022,"54,566.9922"
8,28-Apr-2022,"56,189.8675"
9,27-Apr-2022,"54,846.4646"
10,26-Apr-2022,"53,492.1544"
11,25-Apr-2022,"55,964.1126"
12,22-Apr-2022,"54,713.4254"
13,21-Apr-2022,"55,032.0320"
14,20-Apr-2022,"55,589.2766"
15,19-Apr-2022,"56,009.1020"
16,18-Apr-2022,"55,311.1413"
17,15-Apr-2022,"54,593.6613"
18,14-Apr-2022,"53,776.0544"
19,13-Apr-2022,"55,335.5562"
20,12-Apr-2022,"52,966.9481"
21,11-Apr-2022,"53,690.6848"
22,08-Apr-2022,"57,383.9480"
23,07-Apr-2022,"58,231.4931"
24,06-Apr-2022,"58,387.3985"
25,05-Apr-2022,"60,522.9815"
26,04-Apr-2022,"61,378.9634"
27,01-Apr-2022,"61,532.7956"
28,31-Mar-2022,"61,164.5282"
29,30-Mar-2022,"62,959.9121"
30,29-Mar-2022,"63,200.7852"
31,28-Mar-2022,"64,031.4286"
32,25-Mar-2022,"59,315.8238"
33,24-Mar-2022,"58,418.7517"
34,23-Mar-2022,"56,463.8763"
35,22-Mar-2022,"57,032.8156"
36,21-Mar-2022,"55,553.5126"
37,18-Mar-2022,"56,297.0870"
38,17-Mar-2022,"55,180.3470"
39,16-Mar-2022,"56,583.7197"
40,15-Mar-2022,"54,786.3971"
41,14-Mar-2022,"53,851.1198"
42,11-Mar-2022,"53,276.5496"
43,10-Mar-2022,"53,440.5354"
44,09-Mar-2022,"57,185.4315"
45,08-Mar-2022,"52,947.5516"
46,07-Mar-2022,"51,665.9563"
47,04-Mar-2022,"53,421.7444"
48,03-Mar-2022,"57,411.5143"
49,02-Mar-2022,"60,391.0536"
50,01-Mar-2022,"60,481.8057"
51,28-Feb-2022,"57,327.4091"
52,25-Feb-2022,"53,873.4936"
53,24-Feb-2022,"53,601.2144"
54,23-Feb-2022,"51,867.8507"
55,22-Feb-2022,"52,472.2161"
56,21-Feb-2022,"51,543.1790"
57,18-Feb-2022,"55,718.6063"
58,17-Feb-2022,"56,605.1336"
59,16-Feb-2022,"61,254.0642"
60,15-Feb-2022,"61,499.5666"
61,14-Feb-2022,"59,275.5437"
62,11-Feb-2022,"59,628.6675"
63,10-Feb-2022,"61,067.9319"
64,09-Feb-2022,"61,950.6407"
65,08-Feb-2022,"61,880.2575"
66,07-Feb-2022,"61,877.5923"
67,04-Feb-2022,"57,410.2430"
68,03-Feb-2022,"51,754.1305"
69,02-Feb-2022,"51,716.5593"
70,01-Feb-2022,"54,432.7535"
71,31-Jan-2022,"54,363.8704"
72,28-Jan-2022,"54,081.3967"
73,27-Jan-2022,"51,440.8186"
74,26-Jan-2022,"51,061.3969"
75,25-Jan-2022,"51,131.9351"
76,24-Jan-2022,"51,548.9919"
77,21-Jan-2022,"51,040.3758"
78,20-Jan-2022,"57,166.6113"
79,19-Jan-2022,"57,840.6129"
80,18-Jan-2022,"58,968.9857"
81,17-Jan-2022,"57,864.8641"
82,14-Jan-2022,"60,082.2281"
83,13-Jan-2022,"58,755.9764"
84,12-Jan-2022,"60,100.2882"
85,11-Jan-2022,"59,193.3712"
86,10-Jan-2022,"58,160.0028"
87,07-Jan-2022,"58,308.1755"
88,06-Jan-2022,"60,164.6615"
89,05-Jan-2022,"60,345.3677"
90,04-Jan-2022,"63,819.5442"
91,03-Jan-2022,"63,915.4873"
92,31-Dec-2021,"63,769.8706"
93,30-Dec-2021,"65,216.4506"
94,29-Dec-2021,"65,100.6066"
95,28-Dec-2021,"65,759.1425"
96,27-Dec-2021,"70,416.3237"
97,24-Dec-2021,"70,419.8284"
98,23-Dec-2021,"70,160.9026"
99,22-Dec-2021,"67,992.3354"
100,21-Dec-2021,"68,605.7015"
101,20-Dec-2021,"66,018.5242"
102,17-Dec-2021,"65,755.6132"
103,16-Dec-2021,"66,940.5567"
104,15-Dec-2021,"68,587.2786"
105,14-Dec-2021,"67,981.2218"
106,13-Dec-2021,"65,642.1680"
107,10-Dec-2021,"66,809.5218"
108,09-Dec-2021,"67,096.9655"
109,08-Dec-2021,"70,587.2020"
110,07-Dec-2021,"70,946.1798"
111,06-Dec-2021,"71,059.8922"
112,03-Dec-2021,"76,544.0954"
113,02-Dec-2021,"80,188.5271"
114,01-Dec-2021,"80,218.7113"
115,30-Nov-2021,"80,135.0028"
116,29-Nov-2021,"81,578.7993"
117,26-Nov-2021,"75,772.6533"
118,25-Nov-2021,"81,814.8776"
119,24-Nov-2021,"79,641.0392"
120,23-Nov-2021,"79,817.3883"
121,22-Nov-2021,"77,881.3564"
122,19-Nov-2021,"79,959.1349"
123,18-Nov-2021,"79,087.7868"
124,17-Nov-2021,"82,724.1916"
125,16-Nov-2021,"82,773.3881"
126,15-Nov-2021,"86,934.5264"
127,12-Nov-2021,"87,379.5200"
128,11-Nov-2021,"89,214.4248"
129,10-Nov-2021,"87,698.9629"
130,09-Nov-2021,"91,744.3496"
131,08-Nov-2021,"89,092.7792"
132,05-Nov-2021,"82,345.4681"
133,04-Nov-2021,"82,884.6123"
134,03-Nov-2021,"84,281.4288"
135,02-Nov-2021,"84,958.6945"
136,01-Nov-2021,"80,677.6109"
137,29-Oct-2021,"82,926.5586"
138,28-Oct-2021,"81,359.6077"
139,27-Oct-2021,"78,335.2261"
140,26-Oct-2021,"82,774.2701"
141,25-Oct-2021,"83,463.5260"
142,22-Oct-2021,"81,325.5157"
143,21-Oct-2021,"83,916.0418"
144,20-Oct-2021,"87,791.3795"
145,19-Oct-2021,"85,827.0075"
146,18-Oct-2021,"82,777.4420"
147,15-Oct-2021,"84,169.0454"
148,14-Oct-2021,"77,426.9651"
149,13-Oct-2021,"77,194.5528"
150,12-Oct-2021,"75,290.0014"
151,11-Oct-2021,"77,979.1378"
152,08-Oct-2021,"73,832.9595"
153,07-Oct-2021,"74,068.7175"
154,06-Oct-2021,"75,497.9931"
155,05-Oct-2021,"70,575.7027"
156,04-Oct-2021,"67,278.3331"
157,01-Oct-2021,"66,307.6881"
158,30-Sep-2021,"60,080.0221"
159,29-Sep-2021,"57,259.3593"
160,28-Sep-2021,"57,711.4949"
161,27-Sep-2021,"58,591.6838"
162,24-Sep-2021,"59,171.4364"
163,23-Sep-2021,"61,260.4769"
164,22-Sep-2021,"59,937.8639"
165,21-Sep-2021,"56,545.0021"
166,20-Sep-2021,"59,996.6368"
167,17-Sep-2021,"64,623.5310"
168,16-Sep-2021,"64,650.0069"
169,15-Sep-2021,"65,330.0981"
170,14-Sep-2021,"63,960.2322"
171,13-Sep-2021,"61,301.5744"
172,10-Sep-2021,"61,236.9172"
173,09-Sep-2021,"62,758.8626"
174,08-Sep-2021,"62,501.8870"
175,07-Sep-2021,"63,340.7172"
176,06-Sep-2021,"69,791.6140"
177,03-Sep-2021,"67,197.3056"
178,02-Sep-2021,"66,951.6282"
179,01-Sep-2021,"65,500.2850"
180,31-Aug-2021,"64,238.2124"
181,30-Aug-2021,"66,633.0319"
182,27-Aug-2021,"66,888.1854"
183,26-Aug-2021,"64,951.0497"
184,25-Aug-2021,"66,898.1723"
185,24-Aug-2021,"66,582.5458"
186,23-Aug-2021,"68,679.5284"
187,20-Aug-2021,"68,190.5116"
188,19-Aug-2021,"65,170.3274"
189,18-Aug-2021,"61,573.8145"
190,17-Aug-2021,"61,998.5661"
191,16-Aug-2021,"62,778.8663"
192,13-Aug-2021,"64,582.1327"
193,12-Aug-2021,"60,644.4656"
194,11-Aug-2021,"62,839.4087"
195,10-Aug-2021,"62,077.3259"
196,09-Aug-2021,"61,953.0198"
197,06-Aug-2021,"58,084.8192"
198,05-Aug-2021,"55,211.2071"
199,04-Aug-2021,"53,836.0385"
200,03-Aug-2021,"51,435.7432"
201,02-Aug-2021,"52,751.1953"
202,30-Jul-2021,"55,360.2369"
203,29-Jul-2021,"53,702.9877"
204,28-Jul-2021,"54,130.8214"
205,27-Jul-2021,"51,661.3797"
206,26-Jul-2021,"51,125.5080"
207,23-Jul-2021,"44,098.5613"
208,22-Jul-2021,"43,672.0867"
209,21-Jul-2021,"43,194.5245"
210,20-Jul-2021,"40,710.0764"
211,19-Jul-2021,"41,874.8469"
212,16-Jul-2021,"42,983.4009"
213,15-Jul-2021,"42,734.4192"
214,14-Jul-2021,"43,830.2326"
215,13-Jul-2021,"43,637.2886"
216,12-Jul-2021,"43,918.0152"
217,09-Jul-2021,"44,767.1564"
218,08-Jul-2021,"44,161.6151"
219,07-Jul-2021,"46,161.6197"
220,06-Jul-2021,"45,282.9154"
221,05-Jul-2021,"44,948.9311"
222,02-Jul-2021,"44,018.4270"
223,01-Jul-2021,"44,712.1387"
224,30-Jun-2021,"46,094.7207"
225,29-Jun-2021,"48,119.6726"
226,28-Jun-2021,"45,793.6055"
227,25-Jun-2021,"42,422.8255"
228,24-Jun-2021,"45,945.7410"
229,23-Jun-2021,"43,633.6281"
230,22-Jun-2021,"43,528.1535"
231,21-Jun-2021,"43,211.0521"
232,18-Jun-2021,"47,460.0615"
233,17-Jun-2021,"49,978.0323"
234,16-Jun-2021,"50,603.3631"
235,15-Jun-2021,"51,936.1331"
236,14-Jun-2021,"51,662.7253"
237,11-Jun-2021,"48,174.4162"
238,10-Jun-2021,"47,042.6103"
239,09-Jun-2021,"47,079.2394"
240,08-Jun-2021,"43,420.3539"
241,07-Jun-2021,"44,412.1857"
242,04-Jun-2021,"47,862.5145"
243,03-Jun-2021,"50,524.5692"
244,02-Jun-2021,"48,670.4282"
245,01-Jun-2021,"46,829.5384"
246,31-May-2021,"47,434.6263"
247,28-May-2021,"45,636.4874"
248,27-May-2021,"49,732.5714"
249,26-May-2021,"50,069.6422"
250,25-May-2021,"48,550.7676"
251,24-May-2021,"50,305.2231"
252,21-May-2021,"45,534.6522"
253,20-May-2021,"51,512.4084"
254,19-May-2021,"49,587.1151"
255,18-May-2021,"55,528.2232"
256,17-May-2021,"57,658.9008"
257,14-May-2021,"63,229.5267"
258,13-May-2021,"63,770.6894"
259,12-May-2021,"70,511.3886"
260,11-May-2021,"72,540.5150"
261,10-May-2021,"70,617.2880"
262,07-May-2021,"73,510.5786"
263,06-May-2021,"71,898.0851"
264,05-May-2021,"73,375.5710"
265,04-May-2021,"71,041.8191"
266,03-May-2021,"73,168.2082"
267,30-Apr-2021,"73,597.9528"
268,29-Apr-2021,"68,207.0546"
269,28-Apr-2021,"69,832.6533"
270,27-Apr-2021,"71,035.4100"
271,26-Apr-2021,"68,269.5424"
272,23-Apr-2021,"65,234.0604"
273,22-Apr-2021,"66,893.5538"
274,21-Apr-2021,"70,898.4782"
275,20-Apr-2021,"73,493.2695"
276,19-Apr-2021,"72,442.4410"
277,16-Apr-2021,"80,163.9690"
278,15-Apr-2021,"81,772.8105"
279,14-Apr-2021,"80,750.2718"
280,13-Apr-2021,"82,691.5063"
281,12-Apr-2021,"78,613.5887"
282,09-Apr-2021,"76,495.3693"
283,08-Apr-2021,"75,334.2435"
284,07-Apr-2021,"73,820.9165"
285,06-Apr-2021,"75,970.5898"
286,05-Apr-2021,"76,822.3369"
287,02-Apr-2021,"77,112.4491"
288,01-Apr-2021,"77,228.7046"
289,31-Mar-2021,"77,547.5000"
290,30-Mar-2021,"77,179.5368"
291,29-Mar-2021,"74,983.6347"
292,26-Mar-2021,"70,708.3933"
293,25-Mar-2021,"68,594.5778"
294,24-Mar-2021,"71,223.5628"
295,23-Mar-2021,"71,373.4723"
296,22-Mar-2021,"70,396.5281"
297,19-Mar-2021,"75,394.1632"
298,18-Mar-2021,"74,059.9459"
299,17-Mar-2021,"74,016.7201"
300,16-Mar-2021,"72,779.1274"
301,15-Mar-2021,"72,714.4018"
302,12-Mar-2021,"73,309.9910"
303,11-Mar-2021,"73,898.8321"
304,10-Mar-2021,"73,550.2844"
305,09-Mar-2021,"70,416.8828"
306,08-Mar-2021,"67,789.2040"
307,05-Mar-2021,"63,787.5390"
308,04-Mar-2021,"61,984.1336"
309,03-Mar-2021,"65,480.4809"
310,02-Mar-2021,"60,653.6061"
311,01-Mar-2021,"62,820.8617"
312,26-Feb-2021,"59,247.2168"
313,25-Feb-2021,"61,007.6200"
314,24-Feb-2021,"61,140.2635"
315,23-Feb-2021,"60,598.3948"
316,22-Feb-2021,"69,382.0455"
317,19-Feb-2021,"70,649.9682"
318,18-Feb-2021,"66,957.5492"
319,17-Feb-2021,"67,574.2971"
320,16-Feb-2021,"62,585.9518"
321,15-Feb-2021,"61,919.1339"
322,12-Feb-2021,"61,789.2899"
323,11-Feb-2021,"60,519.3473"
324,10-Feb-2021,"58,293.5129"
325,09-Feb-2021,"61,145.0517"
326,08-Feb-2021,"57,993.4173"
327,05-Feb-2021,"49,296.7834"
328,04-Feb-2021,"49,573.6745"
329,03-Feb-2021,"48,949.9934"
330,02-Feb-2021,"46,881.0594"
331,01-Feb-2021,"44,150.3018"
332,29-Jan-2021,"45,267.5824"
333,28-Jan-2021,"43,265.1178"
334,27-Jan-2021,"40,443.0137"
335,26-Jan-2021,"41,334.2931"
336,25-Jan-2021,"42,426.0604"
337,22-Jan-2021,"43,160.1710"
338,21-Jan-2021,"40,157.5918"
339,20-Jan-2021,"45,047.9479"
340,19-Jan-2021,"47,386.0205"
341,18-Jan-2021,"47,139.7449"
342,15-Jan-2021,"47,053.8292"
343,14-Jan-2021,"49,773.6727"
344,13-Jan-2021,"48,192.6697"
345,12-Jan-2021,"44,625.3023"
346,11-Jan-2021,"44,094.5202"
347,08-Jan-2021,"51,579.0233"
348,07-Jan-2021,"51,109.5495"
349,06-Jan-2021,"46,061.9633"
350,05-Jan-2021,"43,535.9186"
351,04-Jan-2021,"40,476.9733"
352,01-Jan-2021,"37,954.7366"
353,31-Dec-2020,"37,665.8004"
354,30-Dec-2020,"37,591.9865"
355,29-Dec-2020,"35,351.8338"
356,28-Dec-2020,"35,072.3747"
357,25-Dec-2020,"32,112.5263"
358,24-Dec-2020,"30,806.9914"
359,23-Dec-2020,"30,734.4682"
360,22-Dec-2020,"31,152.6917"
361,21-Dec-2020,"30,491.4327"
362,18-Dec-2020,"30,027.1178"
363,17-Dec-2020,"29,902.2170"
364,16-Dec-2020,"27,975.1122"
365,15-Dec-2020,"25,690.9668"
366,14-Dec-2020,"25,462.8731"
367,11-Dec-2020,"24,011.0153"
368,10-Dec-2020,"24,345.3351"
369,09-Dec-2020,"24,858.5605"
370,08-Dec-2020,"25,313.7057"
371,07-Dec-2020,"25,707.8011"
372,04-Dec-2020,"25,343.4900"
373,03-Dec-2020,"26,153.7428"
374,02-Dec-2020,"25,811.1620"
375,01-Dec-2020,"25,824.4779"
376,30-Nov-2020,"26,372.9958"
377,27-Nov-2020,"23,013.9686"
378,26-Nov-2020,"23,149.5247"
379,25-Nov-2020,"25,621.8194"
380,24-Nov-2020,"25,716.5852"
381,23-Nov-2020,"25,282.2698"
382,20-Nov-2020,"25,439.3375"
383,19-Nov-2020,"24,611.7131"
384,18-Nov-2020,"24,329.8481"
385,17-Nov-2020,"24,146.9058"
386,16-Nov-2020,"22,810.3552"
387,13-Nov-2020,"22,404.4154"
388,12-Nov-2020,"22,332.7941"
389,11-Nov-2020,"21,738.1162"
390,10-Nov-2020,"21,134.6281"
391,09-Nov-2020,"21,114.9602"
392,06-Nov-2020,"21,411.8303"
393,05-Nov-2020,"20,923.8880"
394,04-Nov-2020,"19,502.6873"
395,03-Nov-2020,"19,172.4672"
396,02-Nov-2020,"19,300.8220"
397,30-Oct-2020,"19,400.1138"
398,29-Oct-2020,"19,178.8336"
399,28-Oct-2020,"18,740.9878"
400,27-Oct-2020,"19,092.8050"
401,26-Oct-2020,"18,271.1398"
402,23-Oct-2020,"18,119.3670"
403,22-Oct-2020,"18,433.5440"
404,21-Oct-2020,"18,053.8213"
405,20-Oct-2020,"16,883.6147"
406,19-Oct-2020,"16,594.0161"
407,16-Oct-2020,"15,972.8890"
408,15-Oct-2020,"16,266.5352"
409,14-Oct-2020,"15,900.2652"
410,13-Oct-2020,"15,959.8576"
411,12-Oct-2020,"16,037.9698"
412,09-Oct-2020,"15,242.3422"
413,08-Oct-2020,"15,197.4470"
414,07-Oct-2020,"14,924.6359"
415,06-Oct-2020,"14,837.5264"
416,05-Oct-2020,"14,953.2795"
417,02-Oct-2020,"14,716.7481"
418,01-Oct-2020,"14,756.0891"
419,30-Sep-2020,"14,939.3356"
420,29-Sep-2020,"15,084.6402"
421,28-Sep-2020,"15,368.5238"
422,25-Sep-2020,"15,244.2310"
423,24-Sep-2020,"15,077.4514"
424,23-Sep-2020,"14,436.6860"
425,22-Sep-2020,"14,656.8521"
426,21-Sep-2020,"14,496.1246"
427,18-Sep-2020,"14,935.3175"
428,17-Sep-2020,"14,953.4454"
429,16-Sep-2020,"15,041.1660"
430,15-Sep-2020,"14,872.2580"
431,14-Sep-2020,"14,667.1834"
432,11-Sep-2020,"14,175.6486"
433,10-Sep-2020,"14,190.9767"
434,09-Sep-2020,"14,078.7617"
435,08-Sep-2020,"13,872.8067"
436,07-Sep-2020,"13,945.8654"
437,04-Sep-2020,"14,557.6274"
438,03-Sep-2020,"14,824.4845"
439,02-Sep-2020,"15,491.2262"
440,01-Sep-2020,"16,293.6390"
441,31-Aug-2020,"15,823.0175"
442,28-Aug-2020,"15,604.0174"
443,27-Aug-2020,"15,507.0514"
444,26-Aug-2020,"15,908.1133"
445,25-Aug-2020,"15,644.3580"
446,24-Aug-2020,"16,366.8993"
447,21-Aug-2020,"16,212.5785"
448,20-Aug-2020,"16,485.0709"
449,19-Aug-2020,"16,305.0390"
450,18-Aug-2020,"16,597.0320"
451,17-Aug-2020,"17,075.0693"
452,14-Aug-2020,"16,406.4269"
453,13-Aug-2020,"16,232.4664"
454,12-Aug-2020,"16,140.3825"
455,11-Aug-2020,"15,679.2833"
456,10-Aug-2020,"16,576.8564"
457,07-Aug-2020,"16,161.3354"
458,06-Aug-2020,"16,371.9259"
459,05-Aug-2020,"16,254.0526"
460,04-Aug-2020,"15,662.5524"
461,03-Aug-2020,"15,977.4035"
462,31-Jul-2020,"15,875.7839"
