Exchange Date,Bid,Ask,High,Low,Open,Refresh Rate,BidNet
10-May-2022,"45,648.2457","45,696.8916","45,663.4345","42,875.6850","44,475.2192",111893,"+1,176.1600"
09-May-2022,"44,472.0857","44,530.8843","49,002.5992","43,614.7871","48,732.5611",271751,"-6,473.0054"
06-May-2022,"50,945.0911","50,978.5785","52,047.5587","49,824.7350","51,231.8009",231781,-286.7098
05-May-2022,"51,231.8009","51,272.0996","55,265.1649","50,161.2858","54,780.5892",225114,"-3,548.7883"
04-May-2022,"54,780.5892","54,822.4181","55,327.2475","52,951.9707","53,216.6855",207177,"+1,563.9037"
03-May-2022,"53,216.6855","53,266.4505","55,144.7880","52,846.7531","54,324.4079",191450,"-1,107.7224"
02-May-2022,"54,324.4079","54,385.2399","55,594.0466","53,203.8424","53,687.2187",203287,-242.5843
29-Apr-2022,"54,566.9922","54,607.6172","56,354.2853","53,813.2404","56,205.7090",231425,"-1,622.8753"
28-Apr-2022,"56,189.8675","56,238.0603","56,862.5247","54,779.8483","54,854.1602",219652,"+1,343.4029"
27-Apr-2022,"54,846.4646","54,891.0048","55,256.6676","52,794.5106","53,499.6631",227246,"+1,354.3102"
26-Apr-2022,"53,492.1544","53,543.9685","56,711.2580","52,842.1864","55,964.1126",221992,"-2,471.9582"
25-Apr-2022,"55,964.1126","56,004.8906","56,214.3932","53,326.2284","54,772.1823",242725,"+1,250.6872"
22-Apr-2022,"54,713.4254","54,755.0705","55,764.6745","53,895.9870","55,029.3751",187664,-318.6066
21-Apr-2022,"55,032.0320","55,113.7159","57,812.5118","55,011.0553","55,589.2766",197396,-557.2446
20-Apr-2022,"55,589.2766","55,646.4545","56,851.9477","54,905.3056","56,009.1020",175687,-419.8254
19-Apr-2022,"56,009.1020","56,047.2727","56,658.4476","54,954.7693","55,326.1940",177661,+697.9607
18-Apr-2022,"55,311.1413","55,373.3869","55,711.2033","52,388.0402","54,220.8542",169949,+717.4800
15-Apr-2022,"54,593.6613","54,635.3792","55,199.8784","53,661.9439","53,783.3019",106366,+817.6069
14-Apr-2022,"53,776.0544","53,836.2460","55,629.8726","53,338.4470","55,372.7041",192831,"-1,559.5018"
