Exchange Date,Bid,Ask,High,Low,Open,Refresh Rate,BidNet
31/01/2017,0.7021,0.7028,0.7077,0.701,0.7057,273679,-0.0039
30/01/2017,0.706,0.707,0.7093,0.7027,0.7048,252524,0.001
27/01/2017,0.705,0.7067,0.7069,0.7024,0.7048,249880,0
26/01/2017,0.705,0.7056,0.7062,0.7022,0.7044,266325,0.0009
25/01/2017,0.7041,0.705,0.7081,0.6999,0.7063,269315,-0.0021
24/01/2017,0.7062,0.7069,0.707,0.7026,0.7039,263550,0.0024
23/01/2017,0.7038,0.705,0.7068,0.7024,0.7058,270403,-0.0016
20/01/2017,0.7054,0.7064,0.7104,0.705,0.7085,256876,-0.0033
19/01/2017,0.7087,0.7095,0.7128,0.7048,0.706,266403,0.0028
18/01/2017,0.7059,0.7062,0.7085,0.7042,0.7058,257253,-0.0002
17/01/2017,0.7061,0.7065,0.7077,0.703,0.7051,270781,0.0013
16/01/2017,0.7048,0.7057,0.7075,0.7032,0.7037,217734,0.0005
13/01/2017,0.7043,0.7053,0.7071,0.7011,0.7046,244916,-0.0002
12/01/2017,0.7045,0.7057,0.7063,0.7018,0.7029,264879,0.0015
11/01/2017,0.703,0.7033,0.7051,0.6963,0.6979,265068,0.005
10/01/2017,0.698,0.6984,0.6984,0.6925,0.6952,249624,0.0029
9/01/2017,0.6951,0.6958,0.6975,0.6912,0.6916,205566,0.0031
6/01/2017,0.692,0.6937,0.6948,0.6904,0.6912,187503,0.0008
5/01/2017,0.6912,0.6922,0.6952,0.6907,0.694,207534,-0.0027
4/01/2017,0.6939,0.695,0.698,0.6922,0.694,184060,-0.0002
3/01/2017,0.6941,0.6946,0.6964,0.6852,0.6868,145462,0.0077
2/01/2017,0.6864,0.6876,0.6875,0.6822,0.6833,54779,0.0005
30/12/2016,0.6859,0.6865,0.6888,0.6786,0.6876,193020,-0.0016
29/12/2016,0.6875,0.6886,0.691,0.6859,0.689,213525,-0.0018
28/12/2016,0.6893,0.6898,0.6917,0.6859,0.6869,204680,0.0024
27/12/2016,0.6869,0.6875,0.6887,0.6858,0.6874,161065,0
26/12/2016,0.6869,0.6882,0.6919,0.6836,0.6851,73721,0.0004
23/12/2016,0.6865,0.6873,0.6924,0.6845,0.6912,206374,-0.0047
22/12/2016,0.6912,0.6919,0.695,0.6872,0.694,261305,-0.0027
21/12/2016,0.6939,0.6947,0.6996,0.6934,0.6987,246388,-0.0046
20/12/2016,0.6985,0.6992,0.6991,0.6951,0.6964,257970,0.0021
19/12/2016,0.6964,0.6967,0.7001,0.6936,0.6967,244216,-0.0022
16/12/2016,0.6986,0.6995,0.7073,0.6965,0.7059,245844,-0.0075
15/12/2016,0.7061,0.7071,0.7095,0.7013,0.7025,302449,0.0037
14/12/2016,0.7024,0.7034,0.7068,0.702,0.7055,261098,-0.003
13/12/2016,0.7054,0.7059,0.7079,0.7024,0.7048,257255,0.0005
12/12/2016,0.7049,0.7052,0.7079,0.7031,0.7056,239104,-0.0004
9/12/2016,0.7053,0.7061,0.7081,0.7005,0.7026,262003,0.0027
8/12/2016,0.7026,0.7031,0.7034,0.6882,0.6955,311334,0.0072
7/12/2016,0.6954,0.6962,0.6973,0.6914,0.696,259433,-0.0004
6/12/2016,0.6958,0.6965,0.6964,0.6888,0.6939,257359,0.0018
5/12/2016,0.694,0.6944,0.7068,0.692,0.6972,277944,-0.0048
2/12/2016,0.6988,0.6996,0.7007,0.692,0.6951,273464,0.0037
1/12/2016,0.6951,0.6957,0.699,0.6938,0.697,295714,-0.002
30/11/2016,0.6971,0.698,0.7043,0.6952,0.7024,306983,-0.0055
29/11/2016,0.7026,0.7029,0.7065,0.7016,0.7044,289319,-0.0019
28/11/2016,0.7045,0.7054,0.7073,0.698,0.7007,263349,0.0029
25/11/2016,0.7016,0.7047,0.7051,0.6996,0.7016,287934,0.0001
24/11/2016,0.7015,0.7024,0.7026,0.6977,0.6993,275598,0.0024
23/11/2016,0.6991,0.7002,0.7023,0.6952,0.6962,282233,0.0028
22/11/2016,0.6963,0.6968,0.6972,0.6913,0.693,299517,0.0037
21/11/2016,0.6926,0.6938,0.6943,0.689,0.6916,274210,0.0003
18/11/2016,0.6923,0.6939,0.6986,0.6914,0.6966,293637,-0.0044
17/11/2016,0.6967,0.6974,0.701,0.6943,0.6994,289576,-0.0028
16/11/2016,0.6995,0.6998,0.7049,0.6961,0.7046,314579,-0.0052
15/11/2016,0.7047,0.7053,0.7052,0.6982,0.703,309605,0.0017
14/11/2016,0.703,0.7041,0.7045,0.6926,0.6932,302400,0.0079
11/11/2016,0.6951,0.6963,0.6996,0.6923,0.6985,302145,-0.0033
10/11/2016,0.6984,0.6994,0.7104,0.6946,0.6996,309884,-0.0012
9/11/2016,0.6996,0.7001,0.7067,0.6711,0.7037,326438,-0.0042
8/11/2016,0.7038,0.7042,0.7061,0.6958,0.6996,218484,0.0043
7/11/2016,0.6995,0.7003,0.7,0.6884,0.6886,210446,0.0109
4/11/2016,0.6886,0.689,0.6933,0.6879,0.6913,198223,-0.003
3/11/2016,0.6916,0.6921,0.6936,0.6864,0.6898,238085,0.0016
2/11/2016,0.69,0.6907,0.6925,0.6876,0.692,238292,-0.0017
1/11/2016,0.6917,0.6927,0.6992,0.6906,0.6927,211045,-0.0011
31/10/2016,0.6928,0.6932,0.6954,0.6891,0.6907,189536,0.0018
28/10/2016,0.691,0.6924,0.6974,0.6898,0.6961,217402,-0.0051
27/10/2016,0.6961,0.697,0.7015,0.6944,0.701,224715,-0.0049
26/10/2016,0.701,0.7015,0.7077,0.6992,0.702,213833,-0.0011
25/10/2016,0.7021,0.7025,0.7035,0.6977,0.699,213401,0.0031
24/10/2016,0.699,0.6998,0.7019,0.6972,0.6976,176836,0.0006
