Exchange Date,Bid,Ask,High,Low,Open,Refresh Rate,BidNet
31/01/2017,5.8835,5.8868,5.8996,5.8473,5.8589,132832,+0.0245
30/01/2017,5.8590,5.8647,5.8693,5.8365,5.8470,126382,+0.0041
27/01/2017,5.8549,5.8639,5.8753,5.8240,5.8433,129819,+0.0101
26/01/2017,5.8448,5.8466,5.8831,5.8313,5.8723,133083,-0.0275
25/01/2017,5.8723,5.8764,5.8936,5.8261,5.8798,140376,-0.0067
24/01/2017,5.8790,5.8841,5.9014,5.8547,5.8794,131159,+0.0004
23/01/2017,5.8786,5.8850,5.8862,5.8488,5.8596,133004,+0.0196
20/01/2017,5.8590,5.8633,5.8862,5.8291,5.8624,131202,-0.0037
19/01/2017,5.8627,5.8684,5.8742,5.8094,5.8209,134300,+0.0426
18/01/2017,5.8201,5.8229,5.8702,5.8154,5.8654,125594,-0.0476
17/01/2017,5.8677,5.8697,5.8697,5.7865,5.7969,134132,+0.0708
16/01/2017,5.7969,5.8011,5.8211,5.7811,5.8097,105479,-0.0183
13/01/2017,5.8152,5.8203,5.8224,5.7741,5.8008,121264,+0.0159
12/01/2017,5.7993,5.8057,5.8301,5.7586,5.7694,127813,+0.0298
11/01/2017,5.7695,5.7713,5.7938,5.6995,5.7134,131967,+0.0553
10/01/2017,5.7142,5.7152,5.7264,5.6834,5.7022,122454,+0.0128
9/01/2017,5.7014,5.7055,5.7186,5.6484,5.6552,102502,+0.0469
6/01/2017,5.6545,5.6657,5.7038,5.6486,5.6869,101512,-0.0324
5/01/2017,5.6869,5.6910,5.7036,5.6349,5.6464,110368,+0.0413
4/01/2017,5.6456,5.6521,5.6513,5.5888,5.5992,99092,+0.0425
3/01/2017,5.6031,5.6057,5.6161,5.5644,5.5725,76751,+0.0329
2/01/2017,5.5702,5.5774,5.6042,5.5539,5.6023,30815,-0.0244
30/12/2016,5.5946,5.5967,5.6193,5.5856,5.5951,92416,+0.0003
29/12/2016,5.5943,5.6017,5.6016,5.5573,5.5671,97568,+0.0249
28/12/2016,5.5694,5.5721,5.6006,5.5530,5.5694,95424,-0.0047
27/12/2016,5.5741,5.5774,5.5834,5.5623,5.5798,77195,-0.0018
26/12/2016,5.5759,5.5839,5.6081,5.5498,5.5659,30194,+0.0053
23/12/2016,5.5706,5.5755,5.6093,5.5506,5.5994,105225,-0.0288
22/12/2016,5.5994,5.6042,5.6330,5.5833,5.6170,134506,-0.0168
21/12/2016,5.6162,5.6211,5.6503,5.6109,5.6370,121674,-0.0208
20/12/2016,5.6370,5.6388,5.6403,5.6056,5.6267,124581,+0.0103
19/12/2016,5.6267,5.6286,5.6773,5.6205,5.6567,123284,-0.0454
16/12/2016,5.6721,5.6758,5.7204,5.6382,5.7087,123857,-0.0358
15/12/2016,5.7079,5.7136,5.7649,5.6886,5.7454,144501,-0.0343
14/12/2016,5.7422,5.7495,5.8356,5.7334,5.8151,131459,-0.0730
13/12/2016,5.8152,5.8171,5.8355,5.7942,5.8151,124954,-0.0007
12/12/2016,5.8159,5.8176,5.8206,5.7590,5.7787,115700,+0.0347
9/12/2016,5.7812,5.7856,5.8157,5.7640,5.7816,128630,-0.0035
8/12/2016,5.7847,5.7880,5.8224,5.7568,5.8007,152330,-0.0160
7/12/2016,5.8007,5.8057,5.8039,5.7476,5.7855,126419,+0.0152
6/12/2016,5.7855,5.7878,5.8027,5.7588,5.7935,124013,-0.0087
5/12/2016,5.7942,5.7955,5.8139,5.7446,5.7754,133298,+0.0090
2/12/2016,5.7852,5.7895,5.7917,5.7353,5.7487,131877,+0.0365
