Exchange Date,Bid,Ask,High,Low,Open,Refresh Rate,BidNet
10-May-2022,90.97,91.10,91.02,89.75,90.56,986,+0.45
09-May-2022,90.52,90.57,92.30,90.46,92.20,1715,-1.77
06-May-2022,92.29,92.42,92.97,92.10,92.54,1832,-0.30
05-May-2022,92.59,92.62,93.98,92.30,93.63,678,-1.07
04-May-2022,93.66,93.70,93.66,92.23,92.32,653,+1.34
03-May-2022,92.32,92.34,92.76,91.68,91.71,668,+0.54
02-May-2022,91.78,91.81,91.99,91.45,91.89,1731,+0.11
29-Apr-2022,91.67,91.71,93.38,91.61,92.78,646,-1.19
28-Apr-2022,92.86,92.89,93.47,91.29,91.46,1418,+1.34
27-Apr-2022,91.52,91.55,91.92,90.51,90.55,1757,+0.91
26-Apr-2022,90.61,90.64,92.56,90.58,91.90,1667,-1.25
25-Apr-2022,91.86,92.00,93.17,91.59,93.13,1044,-1.25
22-Apr-2022,93.11,93.15,94.70,93.00,94.56,1614,-1.48
21-Apr-2022,94.59,94.62,95.57,94.47,95.22,1611,-0.68
20-Apr-2022,95.27,95.29,95.70,94.79,95.06,1819,+0.21
19-Apr-2022,95.06,95.10,95.10,93.33,93.33,1496,+1.87
18-Apr-2022,93.19,93.33,93.64,93.03,93.58,504,-0.27
15-Apr-2022,93.46,93.67,93.72,93.29,93.32,697,+0.09
14-Apr-2022,93.37,93.40,93.67,93.10,93.60,1500,-0.28
13-Apr-2022,93.65,93.68,93.85,93.04,93.46,1333,+0.09
12-Apr-2022,93.56,93.58,93.58,92.80,92.99,1363,+0.54
11-Apr-2022,93.02,93.05,93.59,92.48,92.54,1573,+0.31
08-Apr-2022,92.71,92.74,92.88,92.44,92.67,1455,0.00
07-Apr-2022,92.71,92.74,93.17,92.39,92.94,902,-0.24
06-Apr-2022,92.95,92.98,94.12,92.77,93.64,1630,-0.68
05-Apr-2022,93.63,93.68,94.14,92.27,92.59,1507,+1.02
04-Apr-2022,92.61,92.64,92.72,91.55,91.88,1585,+0.73
01-Apr-2022,91.88,91.97,92.30,91.02,91.02,1600,+0.83
31-Mar-2022,91.05,91.08,91.90,90.74,91.44,1616,-0.45
30-Mar-2022,91.50,91.53,92.63,91.14,92.19,1597,-0.75
29-Mar-2022,92.25,92.28,93.11,91.51,92.71,1675,-0.57
28-Mar-2022,92.82,92.85,94.16,91.47,91.47,1537,+1.09
25-Mar-2022,91.73,91.82,91.99,91.03,91.85,1652,-0.16
