Exchange Date,Bid,Ask,High,Low,Open,Refresh Rate,BidNet
30/11/2016,0.9584,0.9596,0.9601,0.9515,0.9515,9905,0.0069
29/11/2016,0.9515,0.9526,0.9538,0.9443,0.9451,9313,0.0063
28/11/2016,0.9452,0.9455,0.949,0.9437,0.9454,8772,0.0013
25/11/2016,0.9439,0.9447,0.9457,0.9421,0.9448,3722,-0.0007
24/11/2016,0.9446,0.9459,0.9494,0.9434,0.9479,8142,-0.0029
23/11/2016,0.9475,0.9488,0.9547,0.9465,0.9534,9508,-0.0059
22/11/2016,0.9534,0.9546,0.9599,0.9527,0.959,9714,-0.0051
21/11/2016,0.9585,0.9594,0.9598,0.9528,0.9561,10550,0.0028
18/11/2016,0.9557,0.9562,0.9569,0.9469,0.9487,9745,0.0081
17/11/2016,0.9476,0.9489,0.9503,0.9446,0.9451,9973,0.003
16/11/2016,0.9446,0.9458,0.9461,0.9381,0.9389,10139,0.0061
15/11/2016,0.9385,0.9398,0.9433,0.9382,0.9415,10289,-0.0031
14/11/2016,0.9416,0.9425,0.9422,0.9379,0.9404,9884,-0.0023
11/11/2016,0.9439,0.9446,0.9515,0.9425,0.947,9983,-0.0029
10/11/2016,0.9468,0.9481,0.9536,0.9389,0.9528,10206,-0.0059
9/11/2016,0.9527,0.954,0.9641,0.949,0.9509,10499,0.0015
8/11/2016,0.9512,0.9523,0.9547,0.9496,0.9497,9005,0.0015
7/11/2016,0.9497,0.9509,0.9565,0.9483,0.9537,9361,-0.0047
4/11/2016,0.9544,0.9557,0.9548,0.9508,0.9545,9008,-0.0005
3/11/2016,0.9549,0.9558,0.9551,0.9492,0.9513,9312,0.0039
2/11/2016,0.951,0.9518,0.9529,0.9376,0.9384,9147,0.0126
1/11/2016,0.9384,0.9393,0.943,0.9339,0.9387,8623,-0.0007
31/10/2016,0.9391,0.9403,0.943,0.9386,0.9417,7873,-0.0029
28/10/2016,0.942,0.9426,0.9432,0.9375,0.9378,8120,0.0042
27/10/2016,0.9378,0.939,0.9389,0.9342,0.9347,8651,0.0034
26/10/2016,0.9344,0.9357,0.9375,0.9295,0.9363,8093,-0.0019
25/10/2016,0.9363,0.9376,0.9395,0.9341,0.9375,8382,-0.0012
24/10/2016,0.9375,0.9387,0.9417,0.9369,0.9411,6924,-0.0036
21/10/2016,0.9411,0.9424,0.9433,0.9374,0.9425,7395,-0.0016
