Exchange Date,Bid,Ask,High,Low,Open,Refresh Rate,BidNet
30/11/2016,0.7382,0.7389,0.7497,0.7368,0.7482,146680,-0.0101
29/11/2016,0.7483,0.7485,0.7497,0.7428,0.7478,135501,0.0004
28/11/2016,0.7479,0.7486,0.7494,0.7422,0.7426,121419,0.0049
25/11/2016,0.743,0.7459,0.7468,0.7394,0.7403,133358,0.0024
24/11/2016,0.7406,0.7409,0.7417,0.7358,0.7383,127398,0.0022
23/11/2016,0.7384,0.7386,0.7444,0.7367,0.74,135952,-0.0017
22/11/2016,0.7401,0.7403,0.7413,0.7352,0.7368,139784,0.0037
21/11/2016,0.7364,0.7373,0.7382,0.7305,0.733,128121,0.0032
18/11/2016,0.7332,0.7345,0.7418,0.7325,0.7403,143344,-0.0072
17/11/2016,0.7404,0.741,0.7502,0.7392,0.7478,137264,-0.0072
16/11/2016,0.7476,0.7484,0.7571,0.7456,0.7558,155176,-0.008
15/11/2016,0.7556,0.7561,0.758,0.7506,0.7552,152695,0.0006
14/11/2016,0.755,0.7552,0.7565,0.7518,0.7522,143114,0
11/11/2016,0.755,0.7555,0.7629,0.7519,0.7612,145381,-0.0061
10/11/2016,0.7611,0.7616,0.7742,0.7564,0.7628,145662,-0.0022
9/11/2016,0.7633,0.7637,0.7771,0.7576,0.7758,145390,-0.0128
8/11/2016,0.7761,0.7763,0.7777,0.7685,0.7726,107760,0.0036
7/11/2016,0.7725,0.773,0.7729,0.7653,0.767,99796,0.0055
4/11/2016,0.767,0.7676,0.7696,0.7649,0.7679,100034,-0.0008
3/11/2016,0.7678,0.7688,0.7687,0.7633,0.7656,117676,0.002
2/11/2016,0.7658,0.7663,0.7678,0.7609,0.7652,117930,0.0009
1/11/2016,0.7649,0.7656,0.7688,0.7595,0.7608,106442,0.004
31/10/2016,0.7609,0.7611,0.7619,0.7575,0.759,92569,0.0014
28/10/2016,0.7595,0.7605,0.7607,0.7555,0.7588,112329,0.0007
27/10/2016,0.7588,0.7593,0.7652,0.7578,0.765,114328,-0.0061
26/10/2016,0.7649,0.7651,0.7708,0.763,0.7645,107754,0.0004
25/10/2016,0.7645,0.7648,0.7654,0.7586,0.7609,104644,0.0036
24/10/2016,0.7609,0.7612,0.7641,0.7588,0.7595,80505,0.0007
21/10/2016,0.7602,0.7612,0.7651,0.7584,0.7625,96079,-0.0022
20/10/2016,0.7624,0.7629,0.7734,0.7617,0.7721,110499,-0.0097
19/10/2016,0.7721,0.7723,0.7729,0.7656,0.7666,108803,0.0059
18/10/2016,0.7662,0.7669,0.7689,0.7621,0.7628,108879,0.0037
17/10/2016,0.7625,0.7632,0.7632,0.7578,0.7609,92428,0.0014
14/10/2016,0.7611,0.763,0.7647,0.7553,0.7567,119805,0.0043
13/10/2016,0.7568,0.7569,0.758,0.7504,0.7559,126415,0.0008
12/10/2016,0.756,0.7562,0.7592,0.7529,0.7535,119940,0.0025
11/10/2016,0.7535,0.7543,0.7611,0.7529,0.7604,116096,-0.0071
10/10/2016,0.7606,0.7607,0.7627,0.7576,0.7576,91732,0.0031
7/10/2016,0.7575,0.7579,0.7624,0.755,0.7584,120243,-0.0007
6/10/2016,0.7582,0.7588,0.7623,0.7559,0.762,97340,-0.004
5/10/2016,0.7622,0.7624,0.7644,0.759,0.762,113466,0.0003
4/10/2016,0.7619,0.7624,0.7691,0.7604,0.7666,117295,-0.0051
3/10/2016,0.767,0.7678,0.7681,0.7637,0.7653,76992,0.0016
30/09/2016,0.7654,0.7674,0.7671,0.7587,0.7634,120681,0.0021
29/09/2016,0.7633,0.7639,0.771,0.7619,0.7691,120179,-0.0057
28/09/2016,0.769,0.7695,0.7693,0.7641,0.7666,115625,0.0024
27/09/2016,0.7666,0.7668,0.7696,0.7608,0.763,112690,0.003
26/09/2016,0.7636,0.7637,0.7649,0.76,0.7616,91525,0.0018
23/09/2016,0.7618,0.7623,0.7653,0.7606,0.764,106929,-0.0024
22/09/2016,0.7642,0.7647,0.7675,0.7605,0.7623,106970,0.0019
21/09/2016,0.7623,0.7625,0.763,0.7531,0.7552,114530,0.0067
20/09/2016,0.7556,0.7559,0.7564,0.7527,0.7533,95774,0.0023
19/09/2016,0.7533,0.7535,0.7572,0.7469,0.7484,75790,0.0045
16/09/2016,0.7488,0.7493,0.7526,0.7473,0.7512,99762,-0.0026
15/09/2016,0.7514,0.7515,0.7522,0.7443,0.7469,101750,0.0048
14/09/2016,0.7466,0.7473,0.7496,0.7448,0.746,101239,0.0004
13/09/2016,0.7462,0.7477,0.7567,0.7439,0.7563,110318,-0.0101
12/09/2016,0.7563,0.7569,0.7566,0.7491,0.7539,89826,0.0025
9/09/2016,0.7538,0.7545,0.7656,0.7533,0.7643,106023,-0.0102
8/09/2016,0.764,0.7648,0.7732,0.7631,0.7672,99724,-0.0032
7/09/2016,0.7672,0.7674,0.7697,0.7649,0.7686,99023,-0.0014
6/09/2016,0.7686,0.7691,0.7688,0.7576,0.7578,90203,0.0108
5/09/2016,0.7578,0.7587,0.7606,0.7557,0.7561,71641,0.0008
2/09/2016,0.757,0.7575,0.7615,0.7532,0.7547,89918,0.0019
1/09/2016,0.7551,0.7553,0.7558,0.7502,0.7515,89936,0.0037
31/08/2016,0.7514,0.7522,0.7533,0.7488,0.7509,91196,0.0005
30/08/2016,0.7509,0.7511,0.7579,0.7496,0.7563,88235,-0.0058
29/08/2016,0.7567,0.7572,0.7581,0.7522,0.7555,80114,0.0004
26/08/2016,0.7563,0.7565,0.7691,0.7547,0.7617,93078,-0.0052
25/08/2016,0.7615,0.762,0.7638,0.7599,0.7612,80765,0.0003
