Date,GDP per capita: Current prices ;
1973-09,1041
1973-12,1089
1974-03,1128
1974-06,1167
1974-09,1213
1974-12,1264
1975-03,1309
1975-06,1349
1975-09,1398
1975-12,1457
1976-03,1520
1976-06,1582
1976-09,1635
1976-12,1681
1977-03,1724
1977-06,1758
1977-09,1785
1977-12,1813
1978-03,1853
1978-06,1904
1978-09,1963
1978-12,2025
1979-03,2085
1979-06,2144
1979-09,2207
1979-12,2271
1980-03,2331
1980-06,2390
1980-09,2458
1980-12,2529
1981-03,2607
1981-06,2696
1981-09,2790
1981-12,2878
1982-03,2949
1982-06,3009
1982-09,3059
1982-12,3081
1983-03,3107
1983-06,3170
1983-09,3274
1983-12,3399
1984-03,3503
1984-06,3568
1984-09,3616
1984-12,3682
1985-03,3785
1985-06,3901
1985-09,3997
1985-12,4064
1986-03,4118
1986-06,4180
1986-09,4256
1986-12,4354
1987-03,4474
1987-06,4603
1987-09,4737
1987-12,4872
1988-03,5002
1988-06,5136
1988-09,5272
1988-12,5422
1989-03,5582
1989-06,5726
1989-09,5842
1989-12,5939
1990-03,6013
1990-06,6068
1990-09,6083
1990-12,6057
1991-03,6017
1991-06,5994
1991-09,6008
1991-12,6057
1992-03,6098
1992-06,6136
1992-09,6193
1992-12,6279
1993-03,6358
1993-06,6404
1993-09,6446
1993-12,6514
1994-03,6627
1994-06,6742
1994-09,6822
1994-12,6878
1995-03,6932
1995-06,7017
1995-09,7132
1995-12,7242
1996-03,7334
1996-06,7400
1996-09,7450
1996-12,7513
1997-03,7595
1997-06,7704
1997-09,7821
1997-12,7922
1998-03,7995
1998-06,8072
1998-09,8166
1998-12,8264
1999-03,8336
1999-06,8394
1999-09,8497
1999-12,8649
2000-03,8830
2000-06,8972
2000-09,9070
2000-12,9147
2001-03,9246
2001-06,9367
2001-09,9506
2001-12,9645
2002-03,9799
2002-06,9945
2002-09,10080
2002-12,10183
2003-03,10275
2003-06,10396
2003-09,10574
2003-12,10787
2004-03,10976
2004-06,11123
2004-09,11259
2004-12,11408
2005-03,11587
2005-06,11800
2005-09,12024
2005-12,12208
2006-03,12353
2006-06,12520
2006-09,12764
2006-12,13050
2007-03,13293
2007-06,13465
2007-09,13623
2007-12,13819
2008-03,14106
2008-06,14420
2008-09,14664
2008-12,14732
2009-03,14617
2009-06,14466
2009-09,14447
2009-12,14638
2010-03,14983
2010-06,15333
2010-09,15607
2010-12,15830
2011-03,16079
2011-06,16350
2011-09,16520
2011-12,16581
2012-03,16594
2012-06,16620
2012-09,16649
2012-12,16671
2013-03,16723
2013-06,16842
2013-09,16996
2013-12,17131
2014-03,17190
2014-06,17168
2014-09,17133
2014-12,17123
2015-03,17140
2015-06,17160
2015-09,17165
2015-12,17181
2016-03,17215
2016-06,17339
2016-09,17619
2016-12,17934
2017-03,18162
2017-06,18255
2017-09,18303
2017-12,18428
2018-03,18622
2018-06,18826
2018-09,19009
2018-12,19169
2019-03,19374
