Date,Cash Rate Target
2006-03,5.5
2006-06,5.75
2006-09,6
2006-12,6.25
2007-03,6.25
2007-06,6.25
2007-09,6.5
2007-12,6.75
2008-03,7.25
2008-06,7.25
2008-09,7
2008-12,4.25
2009-03,3.25
2009-06,3
2009-09,3
2009-12,3.75
2010-03,4
2010-06,4.5
2010-09,4.5
2010-12,4.75
2011-03,4.75
2011-06,4.75
2011-09,4.75
2011-12,4.25
2012-03,4.25
2012-06,3.5
2012-09,3.5
2012-12,3
2013-03,3
2013-06,2.75
2013-09,2.5
2013-12,2.5
2014-03,2.5
2014-06,2.5
2014-09,2.5
2014-12,2.5
2015-03,2.25
2015-06,2
2015-09,2
2015-12,2
2016-03,2
2016-06,1.75
2016-09,1.5
2016-12,1.5
2017-03,1.5
2017-06,1.5
2017-09,1.5
2017-12,1.5
2018-03,1.5
2018-06,1.5
2018-09,1.5
2018-12,1.5
2019-03,1.5
2019-06,1.25
2019-09,1
2019-12,0.75
2020-03,0.5
2020-06,0.25
2020-09,0.25
2020-12,0.1
2021-03,0.1
2021-06,0.1
2021-09,0.1
2021-12,0.1
2022-03,0.1
