Date,inflation_rate
2006-03,84.5
2006-06,85.9
2006-09,86.7
2006-12,86.6
2007-03,86.6
2007-06,87.7
2007-09,88.3
2007-12,89.1
2008-03,90.3
2008-06,91.6
2008-09,92.7
2008-12,92.4
2009-03,92.5
2009-06,92.9
2009-09,93.8
2009-12,94.3
2010-03,95.2
2010-06,95.8
2010-09,96.5
2010-12,96.9
2011-03,98.3
2011-06,99.2
2011-09,99.8
2011-12,99.8
2012-03,99.9
2012-06,100.4
2012-09,101.8
2012-12,102.0
2013-03,102.4
2013-06,102.8
2013-09,104.0
2013-12,104.8
2014-03,105.4
2014-06,105.9
2014-09,106.4
2014-12,106.6
2015-03,106.8
2015-06,107.5
2015-09,108.0
2015-12,108.4
2016-03,108.2
2016-06,108.6
2016-09,109.4
2016-12,110.0
2017-03,110.5
2017-06,110.7
2017-09,111.4
2017-12,112.1
2018-03,112.6
2018-06,113.0
2018-09,113.5
2018-12,114.1
2019-03,114.1
2019-06,114.8
2019-09,115.4
2019-12,116.2
2020-03,116.6
2020-06,114.4
2020-09,116.2
2020-12,117.2
2021-03,117.9
2021-06,118.8
2021-09,119.7
2021-12,121.3
2022-03,123.9
