"Date","Price","Open","High","Low","Vol.","Change %"
"May 10, 2022","9,824.30","10,170.20","10,170.20","9,676.30","52.24M","-3.13%"
"May 09, 2022","10,141.80","10,116.90","10,205.80","10,071.20","58.98M","0.32%"
"May 06, 2022","10,109.60","10,325.60","10,325.60","9,992.00","91.92M","-1.96%"
"May 05, 2022","10,311.30","10,126.30","10,332.50","10,126.30","58.18M","1.83%"
"May 04, 2022","10,126.30","10,043.30","10,217.20","10,043.30","39.85M","0.83%"
"May 03, 2022","10,043.30","10,068.90","10,109.10","10,023.50","41.37M","-0.25%"
"May 02, 2022","10,068.90","10,124.00","10,124.00","9,922.50","39.45M","-0.39%"
"Apr 29, 2022","10,108.80","10,014.00","10,189.00","10,014.00","54.25M","0.95%"
"Apr 28, 2022","10,014.00","9,918.80","10,124.40","9,910.50","76.06M","1.15%"
"Apr 27, 2022","9,900.30","9,823.10","9,954.30","9,823.10","59.20M","0.73%"
"Apr 26, 2022","9,829.00","10,230.20","10,230.20","9,708.90","72.43M","-3.92%"
"Apr 22, 2022","10,230.20","10,488.00","10,488.00","10,211.00","90.88M","-2.46%"
"Apr 21, 2022","10,488.00","10,363.80","10,526.00","10,363.80","59.28M","1.20%"
"Apr 20, 2022","10,363.80","10,422.90","10,422.90","10,290.20","61.75M","-0.57%"
"Apr 19, 2022","10,422.90","10,293.70","10,440.30","10,285.00","55.74M","1.26%"
"Apr 14, 2022","10,293.70","10,184.70","10,335.70","10,184.70","68.09M","1.07%"
"Apr 13, 2022","10,184.70","10,085.60","10,295.70","10,085.60","74.22M","0.98%"
"Apr 12, 2022","10,085.60","10,147.70","10,147.90","9,984.70","58.46M","-0.61%"
"Apr 11, 2022","10,147.70","10,171.70","10,279.80","10,097.60","70.22M","-0.24%"
