"Date","Price","Open","High","Low","Vol.","Change %"
"May 10, 2022","16,557.10","16,982.70","16,982.70","16,204.90","138.27M","-2.37%"
"May 09, 2022","16,958.20","17,352.70","17,352.70","16,910.90","176.68M","-2.02%"
"May 06, 2022","17,307.00","17,706.50","17,706.50","17,152.90","214.58M","-2.24%"
"May 05, 2022","17,702.70","17,453.60","17,752.00","17,453.60","229.74M","1.35%"
"May 04, 2022","17,467.60","17,610.80","17,794.50","17,414.70","255.87M","-0.81%"
"May 03, 2022","17,610.80","17,795.10","17,795.10","17,544.80","164.20M","-1.04%"
"May 02, 2022","17,795.10","17,915.10","17,915.10","17,644.90","143.34M","-0.67%"
"Apr 29, 2022","17,915.10","17,838.00","17,974.40","17,827.00","243.44M","0.59%"
"Apr 28, 2022","17,809.60","17,231.30","17,819.20","17,231.30","242.98M","3.36%"
"Apr 27, 2022","17,231.30","17,198.40","17,321.50","16,993.40","321.69M","-0.12%"
"Apr 26, 2022","17,252.60","18,121.90","18,121.90","17,169.30","293.00M","-4.80%"
"Apr 22, 2022","18,121.90","18,736.00","18,736.00","18,031.50","276.10M","-3.28%"
"Apr 21, 2022","18,736.00","19,039.80","19,039.80","18,736.00","187.48M","-1.60%"
"Apr 20, 2022","19,039.80","19,321.70","19,321.70","19,039.80","203.81M","-1.46%"
"Apr 19, 2022","19,321.70","19,125.60","19,456.20","19,125.60","216.62M","1.03%"
"Apr 14, 2022","19,125.60","18,878.70","19,158.10","18,878.70","243.16M","1.31%"
"Apr 13, 2022","18,878.70","18,758.90","18,924.40","18,758.90","233.76M","0.64%"
"Apr 12, 2022","18,758.90","18,765.10","18,829.60","18,647.80","200.34M","-0.03%"
"Apr 11, 2022","18,765.10","18,824.60","19,048.90","18,728.40","185.44M","-0.32%"
