"Date","Price","Open","High","Low","Vol.","Change %"
"May 10, 2022","1,422.70","1,425.80","1,427.30","1,404.30","22.34M","-0.01%"
"May 09, 2022","1,422.80","1,441.70","1,441.70","1,416.80","34.48M","-1.65%"
"May 06, 2022","1,446.70","1,478.90","1,478.90","1,441.80","27.28M","-2.14%"
"May 05, 2022","1,478.40","1,472.70","1,481.70","1,472.30","25.45M","0.39%"
"May 04, 2022","1,472.70","1,476.10","1,482.10","1,471.10","31.09M","-0.23%"
"May 03, 2022","1,476.10","1,478.40","1,485.00","1,470.40","31.39M","-0.18%"
"May 02, 2022","1,478.70","1,512.30","1,512.30","1,475.50","27.39M","-2.22%"
"Apr 29, 2022","1,512.30","1,484.20","1,512.30","1,484.20","39.92M","1.89%"
"Apr 28, 2022","1,484.20","1,485.70","1,492.30","1,481.10","32.03M","-0.10%"
"Apr 27, 2022","1,485.70","1,493.80","1,493.80","1,478.40","30.27M","-0.54%"
"Apr 26, 2022","1,493.80","1,507.60","1,507.60","1,487.70","37.46M","-0.92%"
"Apr 22, 2022","1,507.60","1,508.80","1,509.60","1,495.10","38.12M","-0.08%"
"Apr 21, 2022","1,508.80","1,509.60","1,516.30","1,503.30","36.17M","-0.05%"
"Apr 20, 2022","1,509.60","1,508.60","1,521.60","1,507.40","39.14M","0.07%"
"Apr 19, 2022","1,508.60","1,509.10","1,514.00","1,500.30","34.19M","-0.03%"
"Apr 14, 2022","1,509.10","1,504.70","1,518.00","1,504.70","69.62M","0.29%"
"Apr 13, 2022","1,504.70","1,504.80","1,514.60","1,501.50","30.22M","-0.01%"
"Apr 12, 2022","1,504.80","1,507.30","1,512.70","1,499.40","31.54M","-0.17%"
"Apr 11, 2022","1,507.30","1,501.10","1,507.30","1,494.20","28.85M","0.41%"
