Exchange Date,USD,EUR,GBP,JPY
10-May-2022,0.6976,0.6592,0.5639,90.97
09-May-2022,0.6955,0.6587,0.5638,90.52
06-May-2022,0.7077,0.6705,0.5735,92.29
05-May-2022,0.7111,0.6744,0.575,92.59
04-May-2022,0.7262,0.6835,0.5752,93.66
03-May-2022,0.7094,0.6741,0.5675,92.32
02-May-2022,0.7046,0.6707,0.5639,91.78
29-Apr-2022,0.7063,0.6698,0.5617,91.67
28-Apr-2022,0.7092,0.6755,0.5694,92.86
27-Apr-2022,0.7126,0.6749,0.5677,91.52
26-Apr-2022,0.7121,0.6693,0.5661,90.61
25-Apr-2022,0.7177,0.6698,0.5632,91.86
22-Apr-2022,0.7238,0.6704,0.5637,93.11
21-Apr-2022,0.7371,0.68,0.5657,94.59
20-Apr-2022,0.745,0.686,0.5697,95.27
19-Apr-2022,0.737,0.683,0.5668,95.06
18-Apr-2022,0.7346,0.6812,0.5644,93.19
15-Apr-2022,0.7397,0.6843,0.5663,93.46
14-Apr-2022,0.7418,0.6847,0.5675,93.37
13-Apr-2022,0.7448,0.684,0.5677,93.65
12-Apr-2022,0.7459,0.6887,0.5736,93.56
11-Apr-2022,0.7419,0.6814,0.5691,93.02
08-Apr-2022,0.7455,0.6852,0.572,92.71
07-Apr-2022,0.7479,0.6874,0.572,92.71
06-Apr-2022,0.7513,0.6894,0.5747,92.95
05-Apr-2022,0.7579,0.6949,0.5797,93.63
04-Apr-2022,0.7542,0.6873,0.575,92.61
01-Apr-2022,0.7499,0.6782,0.5717,91.88
31-Mar-2022,0.748,0.6758,0.5693,91.05
30-Mar-2022,0.7509,0.6728,0.5717,91.5
29-Mar-2022,0.7506,0.6774,0.5737,92.25
28-Mar-2022,0.7487,0.6818,0.5722,92.82
25-Mar-2022,0.7512,0.6838,0.5698,91.73
24-Mar-2022,0.7512,0.683,0.5695,91.89
23-Mar-2022,0.7497,0.6812,0.5677,90.84
22-Mar-2022,0.7467,0.6768,0.5629,90.16
21-Mar-2022,0.74,0.6716,0.5618,88.4
18-Mar-2022,0.7415,0.6708,0.5624,88.32
17-Mar-2022,0.7374,0.6647,0.5608,87.47
16-Mar-2022,0.7289,0.6606,0.5541,86.56
15-Mar-2022,0.7196,0.6569,0.5518,85.09
14-Mar-2022,0.7187,0.6569,0.5527,84.94
11-Mar-2022,0.729,0.668,0.559,85.5
10-Mar-2022,0.7357,0.6696,0.5621,85.45
09-Mar-2022,0.7322,0.6609,0.5554,84.81
08-Mar-2022,0.7266,0.6664,0.5544,84.04
07-Mar-2022,0.7316,0.6739,0.5582,84.33
04-Mar-2022,0.737,0.6744,0.5571,84.71
03-Mar-2022,0.7329,0.6622,0.5488,84.6
02-Mar-2022,0.7296,0.6559,0.5441,84.28
01-Mar-2022,0.7248,0.6514,0.5439,83.34
28-Feb-2022,0.7262,0.6471,0.541,83.5
25-Feb-2022,0.7232,0.6416,0.5393,83.48
24-Feb-2022,0.7162,0.6397,0.5353,82.72
23-Feb-2022,0.7233,0.6394,0.534,83.17
22-Feb-2022,0.7219,0.6373,0.5312,83.12
21-Feb-2022,0.719,0.6356,0.5286,82.46
18-Feb-2022,0.7173,0.6334,0.5277,82.52
17-Feb-2022,0.7183,0.6322,0.5273,82.59
16-Feb-2022,0.7192,0.6323,0.5293,83.04
15-Feb-2022,0.7151,0.6295,0.5281,82.66
14-Feb-2022,0.7125,0.63,0.5266,82.35
11-Feb-2022,0.7135,0.6285,0.526,82.39
10-Feb-2022,0.7165,0.627,0.5285,83.14
09-Feb-2022,0.7178,0.6282,0.5303,82.94
08-Feb-2022,0.7145,0.6259,0.5275,82.57
07-Feb-2022,0.7125,0.6227,0.5263,82.01
04-Feb-2022,0.7076,0.618,0.5229,81.51
03-Feb-2022,0.714,0.624,0.525,82.1
02-Feb-2022,0.7136,0.6312,0.5254,81.68
01-Feb-2022,0.7126,0.6321,0.527,81.75
31-Jan-2022,0.7064,0.6286,0.5251,81.35
28-Jan-2022,0.6986,0.6267,0.5211,80.53
27-Jan-2022,0.7031,0.6308,0.5251,81.15
26-Jan-2022,0.7114,0.6329,0.5283,81.6
25-Jan-2022,0.7148,0.6326,0.5293,81.41
24-Jan-2022,0.714,0.6304,0.5293,81.38
21-Jan-2022,0.7183,0.6332,0.5298,81.56
20-Jan-2022,0.7225,0.6386,0.5311,82.48
19-Jan-2022,0.721,0.6356,0.5298,82.43
18-Jan-2022,0.7182,0.6339,0.5282,82.33
17-Jan-2022,0.721,0.6318,0.5282,82.61
14-Jan-2022,0.7206,0.6311,0.5269,82.4
13-Jan-2022,0.7284,0.6355,0.5311,83.11
12-Jan-2022,0.7284,0.6364,0.5315,83.49
11-Jan-2022,0.7209,0.6342,0.5286,83.12
10-Jan-2022,0.7168,0.6328,0.5278,82.62
07-Jan-2022,0.7178,0.6317,0.5281,82.98
06-Jan-2022,0.716,0.6339,0.529,82.97
05-Jan-2022,0.7219,0.6379,0.5325,83.83
04-Jan-2022,0.7238,0.6412,0.5349,84.08
03-Jan-2022,0.7191,0.6365,0.5337,82.94
31-Dec-2021,0.726,0.6384,0.5365,83.66
30-Dec-2021,0.7249,0.6401,0.5371,83.41
29-Dec-2021,0.7248,0.6388,0.5375,83.33
28-Dec-2021,0.7228,0.6389,0.5379,82.98
27-Dec-2021,0.7234,0.6387,0.5383,83.17
24-Dec-2021,0.7223,0.638,0.5395,82.65
23-Dec-2021,0.7242,0.639,0.5399,82.87
22-Dec-2021,0.7213,0.6367,0.5401,82.31
21-Dec-2021,0.7154,0.6338,0.539,81.6
20-Dec-2021,0.7109,0.6303,0.5382,80.77
17-Dec-2021,0.7124,0.6337,0.538,81.02
16-Dec-2021,0.7183,0.6339,0.5391,81.69
15-Dec-2021,0.7167,0.6349,0.5403,81.8
14-Dec-2021,0.7102,0.6307,0.5363,80.83
13-Dec-2021,0.7129,0.6317,0.5392,81.03
10-Dec-2021,0.7171,0.6338,0.5402,81.3
09-Dec-2021,0.7149,0.633,0.5406,81.08
08-Dec-2021,0.7171,0.6322,0.5427,81.52
07-Dec-2021,0.7118,0.6316,0.5374,80.84
06-Dec-2021,0.7049,0.6245,0.5313,79.98
03-Dec-2021,0.7001,0.6186,0.529,78.98
02-Dec-2021,0.7093,0.6275,0.5329,80.27
01-Dec-2021,0.7104,0.6275,0.5349,80.15
30-Nov-2021,0.7123,0.6282,0.5355,80.65
29-Nov-2021,0.714,0.6323,0.5362,81.08
26-Nov-2021,0.7123,0.6292,0.5339,80.51
25-Nov-2021,0.719,0.6414,0.5396,82.91
24-Nov-2021,0.7195,0.6424,0.5397,83.01
23-Nov-2021,0.7227,0.6424,0.5401,83.19
22-Nov-2021,0.7223,0.6427,0.5391,82.98
19-Nov-2021,0.7234,0.6407,0.5376,82.47
18-Nov-2021,0.7279,0.6397,0.539,83.13
17-Nov-2021,0.7266,0.6418,0.5388,82.89
16-Nov-2021,0.7302,0.6449,0.5437,83.84
15-Nov-2021,0.7344,0.646,0.5473,83.83
12-Nov-2021,0.7332,0.6401,0.5465,83.49
11-Nov-2021,0.7294,0.6365,0.5451,83.15
10-Nov-2021,0.7326,0.638,0.5464,83.44
09-Nov-2021,0.7375,0.6361,0.544,83.28
08-Nov-2021,0.742,0.6403,0.5472,84.05
05-Nov-2021,0.7401,0.6397,0.5482,83.88
