Date,GDP per capita
2006-03,12353
2006-06,12520
2006-09,12764
2006-12,13050
2007-03,13293
2007-06,13465
2007-09,13623
2007-12,13819
2008-03,14106
2008-06,14420
2008-09,14664
2008-12,14732
2009-03,14617
2009-06,14466
2009-09,14447
2009-12,14638
2010-03,14983
2010-06,15333
2010-09,15607
2010-12,15830
2011-03,16079
2011-06,16350
2011-09,16520
2011-12,16581
2012-03,16594
2012-06,16620
2012-09,16649
2012-12,16671
2013-03,16723
2013-06,16842
2013-09,16996
2013-12,17131
2014-03,17190
2014-06,17168
2014-09,17133
2014-12,17123
2015-03,17140
2015-06,17160
2015-09,17165
2015-12,17181
2016-03,17215
2016-06,17339
2016-09,17619
2016-12,17934
2017-03,18162
2017-06,18255
2017-09,18303
2017-12,18428
2018-03,18622
2018-06,18826
2018-09,19009
2018-12,19169
2019-03,19374
